policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
107,1,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,2,['Third Party'],"['Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Third-Party Entity_Other part of company/affiliate']",TRAIN,https://www.tumblr.com/privacy/en,True
107,3,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,4,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,5,['Third Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Other']",TRAIN,https://www.tumblr.com/privacy/en,True
107,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://www.tumblr.com/privacy/en,True
107,7,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,8,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,9,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,10,[],"['Information Type', 'Purpose']",['Purpose_Optional service or feature'],TRAIN,https://www.tumblr.com/privacy/en,True
107,11,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Demographic data', 'Purpose_Analytics or research', 'Collection Process_Directly received from third party']",TRAIN,https://www.tumblr.com/privacy/en,True
107,12,['First Party'],['Collection Process'],['Collection Process_Directly received from third party'],TRAIN,https://www.tumblr.com/privacy/en,True
107,13,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,14,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,15,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Analytics or research', 'Purpose_Personalization or customization']",TRAIN,https://www.tumblr.com/privacy/en,True
107,16,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_User online activities', 'Information Type_Computer information', 'Purpose_Optional service or feature', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.tumblr.com/privacy/en,True
107,18,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Information Type_Other', 'Purpose_Essential service or feature', 'Purpose_Service operation and security', 'Collection Process_Directly received from third party']",TRAIN,https://www.tumblr.com/privacy/en,True
107,19,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.tumblr.com/privacy/en,True
107,20,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Other', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.tumblr.com/privacy/en,True
107,21,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.tumblr.com/privacy/en,True
107,22,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,23,['First Party'],"['Information Type', 'Purpose']","['Information Type_Contact information', 'Purpose_Analytics or research']",TRAIN,https://www.tumblr.com/privacy/en,True
107,24,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Purpose_Analytics or research']",TRAIN,https://www.tumblr.com/privacy/en,True
107,25,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Analytics or research']",TRAIN,https://www.tumblr.com/privacy/en,True
107,26,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']",['Purpose_Optional service or feature'],TRAIN,https://www.tumblr.com/privacy/en,True
107,27,[],[],[],TRAIN,https://www.tumblr.com/privacy/en,True
107,28,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Analytics or research']",TRAIN,https://www.tumblr.com/privacy/en,True
107,29,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Advertising or marketing']",TRAIN,https://www.tumblr.com/privacy/en,True
