policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
1,1,"['First Party', 'Third Party']","['Information Type', 'Collection Process']","['Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,2,[],['Choice Type (opt)'],"[""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,3,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,4,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,5,['First Party'],['Information Type'],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,6,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,7,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,8,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,9,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,10,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,11,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Generic personal information', 'Purpose_Unspecified', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,12,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,13,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not', 'User Type (opt)_Other']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,14,['First Party'],"['Information Type', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,15,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Purpose_Service operation and security', 'Purpose_Unspecified', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Collection Process_Unspecified', 'Third-Party Entity_Unnamed third party']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,16,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,17,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Third-Party Entity', 'Choice Type (opt)', 'User Type (opt)']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not', 'Third-Party Entity_Unnamed third party', 'Choice Type (opt)_Opt-out via contacting company', 'Choice Type (opt)_Other', 'User Type (opt)_Other']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,18,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,19,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,20,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,21,['First Party'],"['Information Type', 'Collection Process', 'User Type (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_Generic personal information', 'Information Type_Other', 'User Type (opt)_Other']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
1,22,['First Party'],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=en,True
