policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
22,1,"['First Party', 'Third Party']","['Collection Process', 'Third-Party Entity']","['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Process_Unspecified', 'Third-Party Entity_Unnamed third party']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,2,[],['Choice Type (opt)'],"[""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,3,[],[],[],TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,4,[],[],[],TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,5,[],[],[],TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,6,['First Party'],['Information Type'],['Information Type_Generic personal information'],TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,7,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Demographic data', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,8,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,9,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Social media data', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,10,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Purpose_Optional service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,11,['First Party'],"['Purpose', 'Collection Process']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,12,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,13,['First Party'],"['Information Type', 'Collection Process', 'Choice Type (opt)']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,14,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Other', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,15,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,16,['First Party'],"['Information Type', 'Collection Process', 'Choice Type (opt)']","['Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,17,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Social media data', 'Collection Process_Directly received from third party']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,18,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,19,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,20,[],[],[],TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,21,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,22,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,23,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,24,"['First Party', 'Third Party']","['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,25,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,26,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,27,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Directly received from third party', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,28,['First Party'],"['Information Type', 'Purpose']","['Information Type_Computer information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,29,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Contact information', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,30,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Location', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,31,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Social media data', 'Purpose_Optional service or feature', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,32,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Social media data', 'Purpose_Personalization or customization', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
22,33,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Essential service or feature']",TRAIN,https://www.mattel163.com/privacypolicy.html,True
