policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
28,1,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,2,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,3,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,4,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,5,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_User online activities', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,6,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,7,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Purpose_Analytics or research']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,8,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_IP address and device IDs', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,9,['First Party'],['Information Type'],"['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Social media data']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,10,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,11,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,12,['First Party'],"['Purpose', 'Anonymization (opt)']",['Anonymization (opt)_Aggregated or anonymized'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,13,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Other', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,14,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Purpose_Advertising or marketing', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Named third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
28,15,['Third Party'],"['Purpose', 'Third-Party Entity']",['Third-Party Entity_Unnamed third party'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=en,True
