policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
30,1,[],[],[],TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,2,[],[],[],TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,3,[],[],[],TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,4,[],[],[],TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,5,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'User Type (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Contractual necessity']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,7,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Information Type_Unspecified', 'Purpose_Service operation and security', 'Legal Basis for Collection_Contractual necessity']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,8,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Choice Type (opt)', 'Anonymization (opt)']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Choice Type (opt)_Opt-out via contacting company', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,9,['First Party'],"['Purpose', 'Choice Type (opt)', 'Anonymization (opt)']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Choice Type (opt)_Opt-out via contacting company', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
30,10,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)', 'Anonymization (opt)']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-out via contacting company', 'Choice Type (opt)_Browser/device privacy controls', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ac-pocketcamp.com/en-GB/site/privacy_policy,True
