policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
34,1,[],[],[],TEST,https://www.rovio.com/privacy,True
34,2,[],[],[],TEST,https://www.rovio.com/privacy,True
34,3,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.rovio.com/privacy,True
34,4,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.rovio.com/privacy,True
34,5,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.rovio.com/privacy,True
34,6,[],[],[],TEST,https://www.rovio.com/privacy,True
34,7,[],[],[],TEST,https://www.rovio.com/privacy,True
34,8,[],[],[],TEST,https://www.rovio.com/privacy,True
34,9,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Essential service or feature', 'Legal Basis for Collection_Contractual necessity']",TEST,https://www.rovio.com/privacy,True
34,10,['First Party'],"['Purpose', 'Collection Process', 'Legal Basis for Collection', 'Anonymization (opt)']","['Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Anonymization (opt)_Aggregated or anonymized']",TEST,https://www.rovio.com/privacy,True
34,11,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Optional service or feature', 'Purpose_Personalization or customization', 'Legal Basis for Collection_Legitimate interests of first or third party']",TEST,https://www.rovio.com/privacy,True
34,12,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party']",TEST,https://www.rovio.com/privacy,True
34,13,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Legal Basis for Collection_Legitimate interests of first or third party']",TEST,https://www.rovio.com/privacy,True
34,14,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Advertising or marketing', 'Purpose_Personalization or customization', 'Legal Basis for Collection_Legitimate interests of first or third party']",TEST,https://www.rovio.com/privacy,True
34,15,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party']",TEST,https://www.rovio.com/privacy,True
34,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection']","['Information Type_Location', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Consent']",TEST,https://www.rovio.com/privacy,True
34,17,['First Party'],"['Purpose', 'Collection Process']","['Purpose_Legal requirement', 'Collection Process_Collected on first-party website/app']",TEST,https://www.rovio.com/privacy,True
34,18,[],[],['Purpose_Unspecified'],TEST,https://www.rovio.com/privacy,True
34,19,['First Party'],"['Purpose', 'Does/Does Not (opt)']",['Purpose_Other'],TEST,https://www.rovio.com/privacy,True
34,20,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Advertising or marketing']",TEST,https://www.rovio.com/privacy,True
34,21,['First Party'],['Information Type'],[],TEST,https://www.rovio.com/privacy,True
34,22,['First Party'],"['Information Type', 'Purpose']",['Purpose_Advertising or marketing'],TEST,https://www.rovio.com/privacy,True
