policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
36,1,['First Party'],['Information Type'],"['Information Type_Generic personal information', 'Collection Process_Unspecified']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,2,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,3,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,4,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit', 'Choice Type (opt)_Opt-in']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,5,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Demographic data', 'Information Type_Social media data', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Service operation and security', 'Purpose_Unspecified', 'Collection Process_Directly received from third party', 'Third-Party Entity_Named third party', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,6,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Other']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,7,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,8,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Analytics or research', 'Purpose_Service operation and security']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,9,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Location', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Purpose_Unspecified', 'Choice Type (opt)_Opt-in']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,10,['Third Party'],['Third-Party Entity'],"['Information Type_Unspecified', 'Third-Party Entity_Other users']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,11,['Third Party'],"['Information Type', 'Third-Party Entity']","['Information Type_User online activities', 'Third-Party Entity_Other users']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,12,['Third Party'],"['Purpose', 'Third-Party Entity']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Third-Party Entity_Unnamed third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,13,"['First Party', 'Third Party']","['Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Unspecified', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Unnamed third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,14,"['First Party', 'Third Party']","['Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Unspecified', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Collection Process_Shared by first party with a third party', 'Choice Type (opt)_Opt-in']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,15,['Third Party'],['Third-Party Entity'],"['Information Type_Unspecified', 'Third-Party Entity_Unnamed third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,16,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,17,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,18,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,19,[],['Choice Type (opt)'],"['Choice Type (opt)_Opt-out link', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,20,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,21,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://supercell.com/en/privacy-policy/,True
36,22,[],['Choice Type (opt)'],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,23,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,24,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://supercell.com/en/privacy-policy/,True
36,25,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,26,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_User online activities', 'Purpose_Service operation and security', 'Collection Mode (opt)_Explicit']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,27,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,28,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Third-Party Entity_Unnamed third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,29,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Collection Process_Unspecified', 'Third-Party Entity_Unnamed third party']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,30,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,31,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,32,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,33,['First Party'],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,34,['First Party'],"['Information Type', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Generic personal information', 'Does/Does Not (opt)_Does Not', 'User Type (opt)_Other']",TRAIN,https://supercell.com/en/privacy-policy/,True
36,35,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,36,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,37,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
36,38,[],[],[],TRAIN,https://supercell.com/en/privacy-policy/,True
