policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
37,1,[],[],[],TRAIN,https://peak.com/en/privacy,True
37,2,[],[],[],TRAIN,https://peak.com/en/privacy,True
37,3,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Generic personal information', ""Choice Type (opt)_Don't use service/feature"", 'Choice Type (opt)_Opt-in']",TRAIN,https://peak.com/en/privacy,True
37,4,[],[],[],TRAIN,https://peak.com/en/privacy,True
37,5,[],[],[],TRAIN,https://peak.com/en/privacy,True
37,6,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party']",TRAIN,https://peak.com/en/privacy,True
37,7,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Unspecified', 'Collection Process_Directly received from third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://peak.com/en/privacy,True
37,8,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Collection Process_Directly received from third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://peak.com/en/privacy,True
37,9,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Social media data', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Collection Process_Directly received from third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://peak.com/en/privacy,True
37,10,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,11,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not']",TRAIN,https://peak.com/en/privacy,True
37,12,"['First Party', 'Third Party']","['Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Unspecified', 'Collection Process_Directly received from third party', 'Third-Party Entity_Named third party', 'Choice Type (opt)_Third-party privacy controls', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://peak.com/en/privacy,True
37,13,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,14,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,15,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,18,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,19,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://peak.com/en/privacy,True
37,20,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TRAIN,https://peak.com/en/privacy,True
37,21,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://peak.com/en/privacy,True
37,22,['First Party'],"['Information Type', 'Purpose', 'Choice Type (opt)']","['Information Type_Other', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Unspecified', 'Choice Type (opt)_Opt-in']",TRAIN,https://peak.com/en/privacy,True
37,23,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Unspecified', 'Collection Process_Shared by first party with a third party', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Opt-in']",TRAIN,https://peak.com/en/privacy,True
37,24,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Third-Party Entity', 'Choice Type (opt)', 'Anonymization (opt)']","['Information Type_Contact information', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Unspecified', 'Collection Process_Shared by first party with a third party', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Opt-in', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://peak.com/en/privacy,True
