policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
38,1,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,2,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,3,['First Party'],['Information Type'],"['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Generic personal information']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,4,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,5,['First Party'],"['Information Type', 'Legal Basis for Collection']","['Information Type_Generic personal information', 'Legal Basis for Collection_Contractual necessity', 'Legal Basis for Collection_Compliance with a legal obligation', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,6,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Legitimate interests of first or third party'],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,7,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,8,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,9,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,10,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Purpose_Service operation and security', 'Purpose_Unspecified', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Named third party', 'Third-Party Entity_Other part of company/affiliate']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,11,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,12,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,13,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,14,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,15,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,16,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,17,['First Party'],['Collection Process'],['Collection Process_Collected on first-party website/app'],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,18,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,19,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,20,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_User online activities', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,21,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_User online activities', 'Collection Process_Collected on first-party website/app', 'Collection Process_Unspecified']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,22,['First Party'],"['Information Type', 'Purpose', 'Anonymization (opt)']","['Information Type_Location', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,23,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Cookies and tracking elements', 'Purpose_Analytics or research', 'Third-Party Entity_Named third party']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,24,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Collection Process_Unspecified']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,25,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,26,"['First Party', 'Third Party']","['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,27,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,28,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,29,[],[],[],TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,30,['Third Party'],"['Information Type', 'Collection Process', 'Third-Party Entity']","['Information Type_Cookies and tracking elements', 'Information Type_Generic personal information', 'Collection Process_Tracked on first-party website/app by third party', 'Third-Party Entity_Named third party']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,31,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Essential service or feature', 'Collection Process_Unspecified']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
38,32,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_Computer information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Unspecified']",TRAIN,https://legal.na.wargaming.net/en/privacy-policy/,True
