policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
41,1,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,2,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,3,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,4,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,5,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-in'],TEST,https://ada.com/privacy-policy/,True
41,6,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,7,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,8,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,9,['First Party'],"['Purpose', 'Collection Process', 'Collection Mode (opt)', 'Choice Type (opt)']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit', 'Choice Type (opt)_Opt-in']",TEST,https://ada.com/privacy-policy/,True
41,10,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TEST,https://ada.com/privacy-policy/,True
41,11,['First Party'],['Information Type'],"['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information']",TEST,https://ada.com/privacy-policy/,True
41,12,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,13,['First Party'],"['Information Type', 'Purpose']","['Information Type_IP address and device IDs', 'Information Type_Computer information', 'Purpose_Essential service or feature', 'Purpose_Service operation and security']",TEST,https://ada.com/privacy-policy/,True
41,14,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Other', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Does/Does Not (opt)_Does Not', ""Choice Type (opt)_Don't use service/feature""]",TEST,https://ada.com/privacy-policy/,True
41,15,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Other']",TEST,https://ada.com/privacy-policy/,True
41,16,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Other']",TEST,https://ada.com/privacy-policy/,True
41,17,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Health, genetic, or biometric data', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Legal Basis for Collection_Contractual necessity']",TEST,https://ada.com/privacy-policy/,True
41,18,[],[],[],TEST,https://ada.com/privacy-policy/,True
41,19,[],[],[],TEST,https://ada.com/privacy-policy/,True
