policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
4,1,[],[],[],TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,2,[],[],[],TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,3,[],[],[],TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,4,[],[],[],TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,5,[],[],[],TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,6,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,7,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity']","['Information Type_User online activities', 'Information Type_Social media data', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Third-Party Entity_Other users']",TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,8,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,9,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Anonymization (opt)']","['Information Type_Cookies and tracking elements', 'Information Type_Generic personal information', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Unspecified', 'Collection Process_Directly received from third party', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
4,10,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,True
