policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
64,1,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,2,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,3,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,4,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,5,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,6,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,7,['First Party'],"['Information Type', 'Choice Type (opt)']",['Information Type_Generic personal information'],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,8,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,9,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,10,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,11,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Collection Process_Shared by first party with a third party', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,12,['First Party'],"['Information Type', 'Collection Process', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,13,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Other', 'Information Type_Unspecified', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,14,['First Party'],"['Information Type', 'Collection Process']","['Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,15,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,16,['First Party'],"['Information Type', 'Collection Process', 'Choice Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,17,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,18,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,19,['First Party'],"['Information Type', 'Collection Process', 'Legal Basis for Collection', 'Choice Type (opt)']","['Information Type_Location', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Consent', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,20,['First Party'],"['Information Type', 'Collection Process', 'Legal Basis for Collection', 'Choice Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Consent', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,21,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection']","['Information Type_User online activities', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,22,['First Party'],"['Collection Process', 'Choice Type (opt)']","['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', ""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,23,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,24,['First Party'],"['Information Type', 'Choice Type (opt)']",['Information Type_Generic personal information'],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,25,['First Party'],['Information Type'],"['Information Type_Generic personal information', 'Information Type_Unspecified']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,26,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Third-Party Entity']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Other', 'Collection Process_Shared by first party with a third party', 'Does/Does Not (opt)_Does Not', 'Third-Party Entity_Unnamed third party']",TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
64,27,[],[],[],TRAIN,https://www.jabra.com/footerpages/apps-privacy-policy,True
