policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
76,1,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,2,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,3,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Unnamed third party']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,4,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_User online activities', 'Choice Type (opt)_Opt-out via contacting company']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,5,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Purpose_Unspecified', 'Choice Type (opt)_Opt-out via contacting company']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,6,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,7,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Directly received from third party']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,8,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,9,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Legal requirement', 'Purpose_Unspecified', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party', 'Third-Party Entity_Other part of company/affiliate', 'Third-Party Entity_Public']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,10,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,11,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,12,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,13,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,14,[],[],[],TEST,https://www.adobe.com/privacy/policy.html#,True
76,15,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TEST,https://www.adobe.com/privacy/policy.html#,True
76,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Other', 'Information Type_Unspecified', 'Purpose_Other', 'Collection Process_Directly received from third party']",TEST,https://www.adobe.com/privacy/policy.html#,True
