policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
96,1,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,2,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,3,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,4,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,5,['First Party'],['Information Type'],"['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Information Type_Unspecified']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Purpose_Essential service or feature', 'Collection Process_Directly received from third party']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,7,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,8,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,9,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Personalization or customization']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,10,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,11,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Generic personal information', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Purpose_Other', 'Collection Process_Unspecified', 'User Type (opt)_Other']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,12,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,13,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Purpose_Advertising or marketing', 'Does/Does Not (opt)_Does Not']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,14,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Service operation and security']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,15,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,16,['Third Party'],"['Information Type', 'Collection Process', 'Third-Party Entity']","['Information Type_Generic personal information', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Other part of company/affiliate']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,17,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Third-Party Entity_Unnamed third party']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,18,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Other', 'Third-Party Entity_Unnamed third party']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,19,['Third Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Merger or acquisition']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,20,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Generic personal information', 'Information Type_Other', 'Purpose_Service operation and security', 'Purpose_Legal requirement']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,21,[],"['Information Type', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,22,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,23,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,24,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,25,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,26,['Third Party'],"['Information Type', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Collection Process_Unspecified', 'Third-Party Entity_Named third party']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,27,['Third Party'],"['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Collection Process_Shared by first party with a third party', 'Third-Party Entity_Named third party']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,28,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,29,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,30,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,31,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,32,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,33,[],['Choice Type (opt)'],"['Choice Type (opt)_First-party privacy controls', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,34,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,35,[],['Does/Does Not (opt)'],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,36,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,37,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,38,[],[],[],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,39,['First Party'],['Collection Process'],['Collection Process_Collected on first-party website/app'],TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,40,['First Party'],"['Information Type', 'Collection Process', 'Choice Type (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Personal identifier', 'Information Type_IP address and device IDs', 'Information Type_Other', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Opt-in']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
96,41,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Other', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,True
