policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
113,1,[],[],[],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,2,[],[],[],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,3,[],[],[],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,4,[],[],[],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,5,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_Unspecified', 'Collection Mode (opt)_Explicit', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Location', 'Information Type_User online activities', 'Information Type_Social media data', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Unspecified', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,7,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,8,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Legal Basis for Collection', 'Third-Party Entity', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_User online activities', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Purpose_Other', 'Third-Party Entity_Unnamed third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,9,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Location', 'Information Type_User online activities', 'Purpose_Advertising or marketing', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,10,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Third-Party Collection Process_Unspecified']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,11,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Purpose_Advertising or marketing', 'Third-Party Entity_Named third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,12,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Other', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,13,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Collection Process_Unspecified']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,14,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,15,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Cookies and tracking elements', 'Information Type_Other']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,16,['First Party'],"['Information Type', 'Purpose']",['Information Type_Cookies and tracking elements'],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,17,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app', 'Third-Party Entity_Named third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,18,['Third Party'],"['Information Type', 'Third-Party Entity', 'Third-Party Collection Process']",['Information Type_Cookies and tracking elements'],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,19,['First Party'],[],[],TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,20,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,21,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
113,22,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.goal.com/de/rechtlich/datenschutzerklaerung,False
