policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
116,1,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,2,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,3,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,4,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,5,"['First Party', 'Third Party']","['Purpose', 'Third-Party Collection Process']",['Purpose_Analytics or research'],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,6,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,7,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'Collection Mode (opt)', 'Third-Party Entity', 'User Type (opt)', 'Third-Party Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Consent', 'Third-Party Entity_Unnamed third party', 'User Type (opt)_Users with account', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,8,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,9,['First Party'],"['Information Type', 'Purpose']",['Information Type_Demographic data'],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,10,['First Party'],"['Information Type', 'Collection Mode (opt)']","['Information Type_Generic personal information', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,11,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,12,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Essential service or feature']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,13,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Essential service or feature']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,14,['First Party'],"['Information Type', 'Purpose']",['Information Type_User online activities'],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,15,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Information Type_Other', 'Purpose_Optional service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,16,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,17,['Third Party'],"['Information Type', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Cookies and tracking elements', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Tracked on first-party website/app by third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,18,"['First Party', 'Third Party']","['Information Type', 'Choice Type (opt)', 'Third-Party Collection Process']","['Information Type_Cookies and tracking elements', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,19,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,20,['Third Party'],"['Purpose', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Legal requirement', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,21,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Contact information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Third-Party Entity_Named third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,22,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Contact information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Third-Party Entity_Named third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,23,['Third Party'],"['Information Type', 'Third-Party Entity', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_Financial', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,24,['Third Party'],['Third-Party Collection Process'],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,25,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,26,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,27,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,28,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,29,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,30,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,31,[],['Choice Scope (opt)'],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,32,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Purpose_Unspecified', 'Third-Party Collection Process_Unspecified']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,33,['Third Party'],['Third-Party Entity'],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,34,[],['Choice Type (opt)'],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,35,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,36,"['First Party', 'Third Party']","['Purpose', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Third-Party Entity', 'Choice Type (opt)', 'Third-Party Collection Process']","['Purpose_Analytics or research', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Does/Does Not (opt)_Does Not', 'Third-Party Entity_Named third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,37,[],[],[],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,38,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Other', 'Purpose_Essential service or feature']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,39,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,40,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_User online activities', 'Information Type_Other', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,41,['Third Party'],"['Third-Party Entity', 'Third-Party Collection Process']","['Third-Party Entity_Named third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,42,['Third Party'],"['Information Type', 'Anonymization (opt)']",['Information Type_IP address and device IDs'],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,43,['Third Party'],['Information Type'],['Information Type_Cookies and tracking elements'],TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
116,44,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Choice Type (opt)', 'Third-Party Collection Process']","['Information Type_Cookies and tracking elements', 'Purpose_Analytics or research', 'Third-Party Entity_Named third party']",TRAIN,https://www.decathlon.de/landing/datenschutz/_/R-a-datenschutz,True
