policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
13,1,[],[],[],TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,2,[],[],[],TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,3,[],[],[],TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,4,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Personal identifier', 'Information Type_User online activities', 'Information Type_Social media data', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Other', 'Purpose_Essential service or feature']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,5,['First Party'],"['Information Type', 'Purpose']","['Information Type_Financial', 'Information Type_Personal identifier', 'Information Type_Unspecified', 'Purpose_Essential service or feature']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,6,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Collection Process_Tracked user on third-party website/app', 'Collection Process_Other', 'Collection Process_Unspecified']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,7,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Directly received from third party']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,8,[],[],[],TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,9,[],[],[],TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,10,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,11,[],['Choice Type (opt)'],"['Choice Type (opt)_First-party privacy controls', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
13,12,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Other']",TRAIN,https://www.westernunion.com/content/wucom/global/de/privacy-statement.html,True
