policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
15,1,[],[],[],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,2,[],[],[],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,3,[],[],[],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,4,[],[],[],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,5,[],[],[],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Personal identifier', 'Information Type_User online activities', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,7,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Location', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,8,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,9,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,10,['First Party'],"['Information Type', 'Purpose', 'Collection Process']",['Information Type_Contact information'],TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,11,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Optional service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,12,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Collection Mode (opt)_Explicit', 'User Type (opt)_Users without account', 'User Type (opt)_Users with account']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
15,13,['First Party'],"['Collection Process', 'Collection Mode (opt)']","['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party']",TRAIN,https://www.paypal.com/de/webapps/mpp/ua/privacy-full,True
