policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
16,1,['First Party'],['Information Type'],['Information Type_Cookies and tracking elements'],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,2,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,3,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Analytics or research']",TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,4,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,5,"['First Party', 'Third Party']","['Purpose', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Entity']","['Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Collection Mode (opt)_Implicit', 'Third-Party Entity_Named third party']",TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,6,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Third-Party Entity_Other part of company/affiliate', ""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,7,[],['Choice Type (opt)'],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,8,['First Party'],['Collection Process'],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,9,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,10,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,11,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,12,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,13,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,14,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,15,[],[],[],TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization']",TRAIN,https://www.activision.com/de/legal/privacy-policy,True
16,17,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)', 'User Type (opt)']","['Information Type_Unspecified', 'Collection Mode (opt)_Explicit', 'Collection Mode (opt)_Implicit', 'User Type (opt)_Users with account']",TRAIN,https://www.activision.com/de/legal/privacy-policy,True
