policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
1,1,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,2,[],['Choice Type (opt)'],"[""Choice Type (opt)_Don't use service/feature"", 'Choice Type (opt)_Opt-in']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,3,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,4,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,5,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,6,[],['User Type (opt)'],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,7,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,8,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)', 'Collection Mode (opt)']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does', 'Does/Does Not (opt)_Does Not', 'Collection Mode (opt)_Explicit']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,9,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,10,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,11,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_Contact information', 'Purpose_Optional service or feature', 'Does/Does Not (opt)_Does']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,12,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_Other', 'Purpose_Essential service or feature', 'Does/Does Not (opt)_Does', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,13,['First Party'],"['Information Type', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,14,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,15,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Does/Does Not (opt)', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Does/Does Not (opt)_Does', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Choice Type (opt)', 'User Type (opt)']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Collection Process_Unspecified', 'Legal Basis for Collection_Consent', 'Does/Does Not (opt)_Does', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Opt-in', 'User Type (opt)_Other']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,17,['First Party'],['Information Type'],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,18,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,19,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Entity']","['Collection Mode (opt)_Explicit', 'Third-Party Entity_Unnamed third party']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
1,20,['First Party'],['Information Type'],['Information Type_Contact information'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,True
