policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
26,1,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,2,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,3,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,4,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,5,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,6,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,7,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,8,['First Party'],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,9,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,10,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,11,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,12,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,13,[],"['Does/Does Not (opt)', 'Choice Type (opt)']","['Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,14,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_IP address and device IDs', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,15,['First Party'],"['Purpose', 'Collection Process']","['Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,16,[],['Choice Type (opt)'],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,17,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,18,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,19,['First Party'],"['Collection Process', 'Collection Mode (opt)']",['Collection Mode (opt)_Explicit'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,20,['First Party'],"['Information Type', 'Purpose']",['Information Type_Contact information'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,21,['First Party'],['Information Type'],['Information Type_Demographic data'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,22,['First Party'],['Information Type'],['Information Type_Contact information'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,23,['First Party'],['Information Type'],['Information Type_Other'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,24,['First Party'],"['Information Type', 'Purpose']",['Information Type_Other'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,25,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,26,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_Other']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,27,['First Party'],['Information Type'],"['Information Type_IP address and device IDs', 'Information Type_Computer information']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,28,['First Party'],['Information Type'],['Information Type_Location'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,29,[],['Collection Mode (opt)'],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,30,['First Party'],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,31,['First Party'],"['Purpose', 'Collection Process', 'Collection Mode (opt)']","['Collection Process_Tracked user on third-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,32,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,33,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_User online activities', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,34,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Entered by user on third-party website/app', 'Collection Process_Unspecified']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,35,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,36,['First Party'],['Purpose'],['Purpose_Advertising or marketing'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,37,['First Party'],['Purpose'],['Purpose_Service operation and security'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,38,['First Party'],['Purpose'],['Purpose_Advertising or marketing'],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,39,"['First Party', 'Third Party']","['Purpose', 'Third-Party Collection Process']","['Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Legal requirement', 'Purpose_Unspecified', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,40,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,41,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
26,42,[],[],[],TRAIN,https://budgestudios.com/en/legal/privacy-policy/?lg=de,False
