policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
27,1,[],[],[],TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,2,[],[],[],TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,3,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Entity']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Third-Party Entity_Other users']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,4,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'Collection Mode (opt)', 'Third-Party Entity', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not', 'Collection Mode (opt)_Implicit', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party', 'Third-Party Entity_Other users', 'User Type (opt)_Users with account']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,5,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not', 'User Type (opt)_Users with account']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not', 'User Type (opt)_Users with account']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,7,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)', 'User Type (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Essential service or feature', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not', 'User Type (opt)_Users with account']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,8,"['First Party', 'Third Party']","['Information Type', 'Collection Process', 'Does/Does Not (opt)', 'Collection Mode (opt)', 'Third-Party Entity']","['Information Type_Financial', 'Information Type_Location', 'Information Type_IP address and device IDs', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Directly received from third party', 'Does/Does Not (opt)_Does Not', 'Collection Mode (opt)_Explicit', 'Third-Party Entity_Named third party']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,9,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'Third-Party Entity', 'User Type (opt)']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Information Type_Other', 'Purpose_Advertising or marketing', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Other', 'Collection Process_Directly received from third party', 'Legal Basis for Collection_Contractual necessity', 'Legal Basis for Collection_Compliance with a legal obligation', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Third-Party Entity_Unnamed third party']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,10,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,11,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_First-party privacy controls', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,12,['First Party'],['Information Type'],"['Information Type_User online activities', 'Information Type_Computer information']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,13,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,14,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Choice Type (opt)']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Third-Party Entity_Unnamed third party', 'Choice Type (opt)_Opt-out link']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,15,['First Party'],"['Purpose', 'Collection Process']",['Purpose_Advertising or marketing'],TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,16,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out link'],TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,17,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Unspecified', 'Purpose_Service operation and security', 'Third-Party Entity_Unnamed third party']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,18,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Purpose_Other', 'Purpose_Unspecified']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,19,['First Party'],['Purpose'],"['Purpose_Optional service or feature', 'Purpose_Service operation and security']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,20,['First Party'],['Purpose'],"['Purpose_Advertising or marketing', 'Purpose_Personalization or customization']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,21,['First Party'],[],[],TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,22,['First Party'],"['Information Type', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Does/Does Not (opt)_Does Not']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
27,23,['Third Party'],"['Purpose', 'Third-Party Entity']","['Purpose_Optional service or feature', 'Third-Party Entity_Unnamed third party']",TRAIN,https://tos.ea.com/legalapp/WEBPRIVACY/DE/de/PC/,False
