policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
28,1,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,2,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,3,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,4,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,5,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,7,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Generic personal information', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,8,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Collection Mode (opt)']","['Information Type_Financial', 'Information Type_Generic personal information', 'Legal Basis for Collection_Consent', 'Does/Does Not (opt)_Does Not']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,9,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Legal Basis for Collection', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Analytics or research', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Contractual necessity', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,10,"['First Party', 'Third Party']","['Information Type', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,11,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Does/Does Not (opt)', 'Third-Party Entity', 'Choice Type (opt)', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_Demographic data', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Does/Does Not (opt)_Does Not', 'Choice Type (opt)_Opt-out via contacting company', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,12,['Third Party'],"['Information Type', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Third-Party Entity_Other part of company/affiliate', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,13,['Third Party'],"['Purpose', 'Does/Does Not (opt)', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Does/Does Not (opt)_Does Not', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,14,[],['Purpose'],['Purpose_Analytics or research'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,15,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Collection Process_Directly received from third party', 'Third-Party Entity_Other users']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,16,['First Party'],['Purpose'],"['Information Type_Unspecified', 'Purpose_Service operation and security', 'Purpose_Legal requirement']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,17,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,18,[],['Choice Type (opt)'],"[""Choice Type (opt)_Don't use service/feature"", 'Choice Type (opt)_Opt-in']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,19,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out via contacting company'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,20,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,21,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,22,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,23,['First Party'],['Information Type'],"['Information Type_User online activities', 'Information Type_IP address and device IDs']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,24,['First Party'],"['Information Type', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Does/Does Not (opt)_Does Not']",TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,25,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,26,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,27,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,28,['First Party'],['Purpose'],['Purpose_Legal requirement'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,29,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,30,[],['User Type (opt)'],['User Type (opt)_Users with account'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,31,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,32,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,33,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-in'],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
28,34,[],[],[],TRAIN,https://game.codycross-game.com/Terms/PrivacyPolicy?lang=de,True
