policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
34,1,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,2,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,3,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,4,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,5,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,6,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,7,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,8,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,9,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Legal Basis for Collection_Contractual necessity']",TRAIN,https://www.rovio.com/privacy-gr,True
34,10,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Anonymization (opt)']","['Purpose_Analytics or research', 'Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://www.rovio.com/privacy-gr,True
34,11,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Personalization or customization', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,12,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,13,['First Party'],"['Purpose', 'Legal Basis for Collection']",['Purpose_Advertising or marketing'],TRAIN,https://www.rovio.com/privacy-gr,True
34,14,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,15,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,16,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Purpose_Unspecified', 'Legal Basis for Collection_Consent']",TRAIN,https://www.rovio.com/privacy-gr,True
34,17,['First Party'],"['Purpose', 'Legal Basis for Collection']",['Purpose_Legal requirement'],TRAIN,https://www.rovio.com/privacy-gr,True
34,18,[],[],['Purpose_Unspecified'],TRAIN,https://www.rovio.com/privacy-gr,True
34,19,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,20,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,21,[],[],[],TRAIN,https://www.rovio.com/privacy-gr,True
34,22,['First Party'],"['Purpose', 'Choice Type (opt)']","['Purpose_Advertising or marketing', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.rovio.com/privacy-gr,True
34,23,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Third-Party Collection Process_Tracked on first-party website/app by third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,24,['Third Party'],"['Purpose', 'Third-Party Entity']","['Purpose_Advertising or marketing', 'Third-Party Entity_Named third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,25,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_IP address and device IDs', 'Third-Party Entity_Named third party']",TRAIN,https://www.rovio.com/privacy-gr,True
34,26,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Purpose_Service operation and security', 'Purpose_Other', 'Collection Process_Other']",TRAIN,https://www.rovio.com/privacy-gr,True
34,27,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Purpose_Service operation and security', 'Purpose_Other']",TRAIN,https://www.rovio.com/privacy-gr,True
34,28,['First Party'],['Purpose'],"['Purpose_Optional service or feature', 'Purpose_Other']",TRAIN,https://www.rovio.com/privacy-gr,True
34,29,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://www.rovio.com/privacy-gr,True
