policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
41,1,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,2,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,3,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,4,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,5,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,6,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,7,['First Party'],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,8,[],['Choice Type (opt)'],['Choice Type (opt)_Other'],TRAIN,https://ada.com/de/privacy-policy/,True
41,9,['First Party'],"['Collection Process', 'Collection Mode (opt)']","['Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://ada.com/de/privacy-policy/,True
41,10,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,11,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app']",TRAIN,https://ada.com/de/privacy-policy/,True
41,12,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,13,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Service operation and security', 'Purpose_Unspecified']",TRAIN,https://ada.com/de/privacy-policy/,True
41,14,['First Party'],"['Legal Basis for Collection', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Legal Basis for Collection_Legitimate interests of first or third party', 'Does/Does Not (opt)_Does Not']",TRAIN,https://ada.com/de/privacy-policy/,True
41,15,['First Party'],"['Information Type', 'User Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Social media data', 'Information Type_IP address and device IDs', 'User Type (opt)_Users with account']",TRAIN,https://ada.com/de/privacy-policy/,True
41,16,['First Party'],"['Information Type', 'User Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Social media data', 'Information Type_IP address and device IDs', 'User Type (opt)_Users with account']",TRAIN,https://ada.com/de/privacy-policy/,True
41,17,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Health, genetic, or biometric data', 'Purpose_Essential service or feature', 'Purpose_Other', 'Legal Basis for Collection_Contractual necessity']",TRAIN,https://ada.com/de/privacy-policy/,True
41,18,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Information Type_User online activities', 'Collection Process_Entered by user on third-party website/app']",TRAIN,https://ada.com/de/privacy-policy/,True
41,19,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Information Type_User online activities', 'Collection Process_Entered by user on third-party website/app']",TRAIN,https://ada.com/de/privacy-policy/,True
41,20,['First Party'],"['Purpose', 'Collection Process']",['Purpose_Service operation and security'],TRAIN,https://ada.com/de/privacy-policy/,True
41,21,['First Party'],"['Purpose', 'Legal Basis for Collection', 'User Type (opt)']","['Purpose_Essential service or feature', 'Legal Basis for Collection_Legitimate interests of first or third party', 'User Type (opt)_Users without account']",TRAIN,https://ada.com/de/privacy-policy/,True
41,22,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,23,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,24,['First Party'],['Purpose'],['Purpose_Essential service or feature'],TRAIN,https://ada.com/de/privacy-policy/,True
41,25,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection', 'Choice Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Computer information', 'Information Type_Other', 'Legal Basis for Collection_Consent', 'Choice Type (opt)_Opt-in', 'Choice Type (opt)_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,26,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Computer information', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,27,['First Party'],"['Purpose', 'Anonymization (opt)']","['Purpose_Optional service or feature', 'Purpose_Service operation and security', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ada.com/de/privacy-policy/,True
41,28,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Legitimate interests of first or third party'],TRAIN,https://ada.com/de/privacy-policy/,True
41,29,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,30,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,31,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Other', 'Legal Basis for Collection_Consent']",TRAIN,https://ada.com/de/privacy-policy/,True
41,32,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Analytics or research']",TRAIN,https://ada.com/de/privacy-policy/,True
41,33,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Mode (opt)', 'Third-Party Entity', 'Anonymization (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Other', 'Purpose_Analytics or research', 'Third-Party Entity_Unnamed third party', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ada.com/de/privacy-policy/,True
41,34,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Choice Type (opt)', 'Anonymization (opt)']","['Purpose_Analytics or research', 'Legal Basis for Collection_Legitimate interests of first or third party', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://ada.com/de/privacy-policy/,True
41,35,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Purpose_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,36,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Purpose_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,37,"['First Party', 'Third Party']","['Purpose', 'Collection Process', 'Legal Basis for Collection', 'Third-Party Entity', 'Anonymization (opt)', 'Third-Party Collection Process']","['Purpose_Analytics or research', 'Purpose_Other', 'Third-Party Entity_Unnamed third party', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,38,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Choice Type (opt)']","['Purpose_Other', 'Legal Basis for Collection_Public interest/official authority', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://ada.com/de/privacy-policy/,True
41,39,['First Party'],['Information Type'],['Information Type_Contact information'],TRAIN,https://ada.com/de/privacy-policy/,True
41,40,['First Party'],['Information Type'],['Information Type_Contact information'],TRAIN,https://ada.com/de/privacy-policy/,True
41,41,['First Party'],['Purpose'],['Purpose_Advertising or marketing'],TRAIN,https://ada.com/de/privacy-policy/,True
41,42,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Purpose_Service operation and security', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,43,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Purpose_Service operation and security']",TRAIN,https://ada.com/de/privacy-policy/,True
41,44,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Third-Party Entity', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_Health, genetic, or biometric data', 'Purpose_Analytics or research', 'Collection Process_Directly received from third party', 'Third-Party Entity_Named third party', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,45,['First Party'],"['Legal Basis for Collection', 'Choice Type (opt)']","['Legal Basis for Collection_Consent', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://ada.com/de/privacy-policy/,True
41,46,['First Party'],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,47,['First Party'],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,48,['First Party'],"['Purpose', 'Collection Process', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Anonymization (opt)']","['Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party', 'Legal Basis for Collection_Consent', 'Does/Does Not (opt)_Does Not', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://ada.com/de/privacy-policy/,True
41,49,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,50,['First Party'],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,51,['First Party'],"['Legal Basis for Collection', 'Choice Type (opt)']","['Legal Basis for Collection_Legitimate interests of first or third party', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://ada.com/de/privacy-policy/,True
41,52,['First Party'],['Information Type'],"['Information Type_IP address and device IDs', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,53,['First Party'],['Information Type'],"['Information Type_IP address and device IDs', 'Information Type_Other']",TRAIN,https://ada.com/de/privacy-policy/,True
41,54,"['First Party', 'Third Party']","['Purpose', 'Collection Process', 'Anonymization (opt)', 'Third-Party Collection Process']","['Purpose_Service operation and security', 'Collection Process_Directly received from third party', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,55,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Legitimate interests of first or third party'],TRAIN,https://ada.com/de/privacy-policy/,True
41,56,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,57,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,58,['First Party'],"['Purpose', 'Collection Mode (opt)']","['Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security']",TRAIN,https://ada.com/de/privacy-policy/,True
41,59,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Legitimate interests of first or third party'],TRAIN,https://ada.com/de/privacy-policy/,True
41,60,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,61,['First Party'],"['Information Type', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Collection Process_Collected on first-party website/app', 'Does/Does Not (opt)_Does Not']",TRAIN,https://ada.com/de/privacy-policy/,True
41,62,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Consent'],TRAIN,https://ada.com/de/privacy-policy/,True
41,63,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,64,['First Party'],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,65,['Third Party'],['Third-Party Collection Process'],['Third-Party Collection Process_Shared by first party with a third party'],TRAIN,https://ada.com/de/privacy-policy/,True
41,66,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,67,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,68,[],[],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,69,['Third Party'],['Third-Party Collection Process'],['Third-Party Collection Process_Shared by first party with a third party'],TRAIN,https://ada.com/de/privacy-policy/,True
41,70,"['First Party', 'Third Party']",['Legal Basis for Collection'],[],TRAIN,https://ada.com/de/privacy-policy/,True
41,71,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Legal Basis for Collection']","['Purpose_Merger or acquisition', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,72,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Purpose_Merger or acquisition', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Compliance with a legal obligation', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,73,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Legal Basis for Collection', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Purpose_Merger or acquisition', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Compliance with a legal obligation', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,74,"['First Party', 'Third Party']","['Purpose', 'Legal Basis for Collection', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Analytics or research', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Compliance with a legal obligation', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,75,"['First Party', 'Third Party']","['Purpose', 'Legal Basis for Collection', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Legal requirement', 'Legal Basis for Collection_Consent', 'Legal Basis for Collection_Compliance with a legal obligation', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
41,76,"['First Party', 'Third Party']","['Purpose', 'Legal Basis for Collection', 'Third-Party Collection Process']","['Purpose_Legal requirement', 'Legal Basis for Collection_Compliance with a legal obligation', 'Legal Basis for Collection_Public interest/official authority', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://ada.com/de/privacy-policy/,True
