policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
50,1,[],[],[],TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,2,[],[],[],TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,3,[],[],[],TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,4,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Unspecified', 'Purpose_Analytics or research', 'Legal Basis for Collection_Consent', 'Does/Does Not (opt)_Does Not', ""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,5,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Does/Does Not (opt)', 'Choice Type (opt)']","['Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Legal Basis for Collection_Consent', 'Does/Does Not (opt)_Does Not', ""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,6,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Legal Basis for Collection_Consent']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,7,[],[],[],TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,8,['First Party'],"['Legal Basis for Collection', 'Choice Type (opt)']","['Legal Basis for Collection_Other', 'Choice Type (opt)_Opt-out via contacting company', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,9,['First Party'],['Legal Basis for Collection'],['Legal Basis for Collection_Other'],TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,10,['First Party'],"['Purpose', 'Legal Basis for Collection', 'Choice Type (opt)', 'User Type (opt)']","['Purpose_Essential service or feature', 'Legal Basis for Collection_Consent', ""Choice Type (opt)_Don't use service/feature"", 'User Type (opt)_Users with account']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,11,['First Party'],"['Information Type', 'Collection Process', 'User Type (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other', 'Collection Process_Collected on first-party website/app', 'User Type (opt)_Users with account']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,12,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
50,13,['First Party'],['Information Type'],"['Information Type_Financial', 'Information Type_Personal identifier', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other']",TRAIN,https://legal.mysugr.com/documents/privacy_policy_eu/current.html,True
