policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
55,1,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,2,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,3,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,4,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,5,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,6,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,7,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,8,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,9,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,10,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,11,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,12,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,13,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,14,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,15,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,16,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,17,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,18,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,19,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,20,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,21,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,22,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,23,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,24,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,25,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,26,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app', 'Legal Basis for Collection_Consent', 'Collection Mode (opt)_Implicit']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,27,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,28,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Contact information', 'Purpose_Analytics or research']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,29,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other', 'Collection Mode (opt)_Explicit']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,30,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Legal Basis for Collection']","['Information Type_Health, genetic, or biometric data', 'Information Type_IP address and device IDs', 'Legal Basis for Collection_Consent']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,31,['First Party'],"['Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Does/Does Not (opt)_Does Not']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,32,['First Party'],"['Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Unspecified', 'Purpose_Optional service or feature', 'Does/Does Not (opt)_Does Not']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,33,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Does/Does Not (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Unspecified', 'Purpose_Optional service or feature', 'Purpose_Personalization or customization', 'Does/Does Not (opt)_Does Not']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,34,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Purpose_Personalization or customization']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,35,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Purpose_Personalization or customization']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,36,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Purpose_Personalization or customization']",TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,37,['Third Party'],"['Purpose', 'Third-Party Entity']",['Purpose_Service operation and security'],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,38,['Third Party'],['Purpose'],['Purpose_Service operation and security'],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,39,['First Party'],['Collection Process'],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,40,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,41,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,42,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,43,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,44,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,45,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out via contacting company'],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,46,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,47,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,48,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,49,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,50,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,51,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,52,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,53,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,54,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,55,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,56,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,57,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,58,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,59,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,60,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,61,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,62,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,63,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,64,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,65,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,66,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,67,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,68,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,69,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,70,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,71,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,72,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,73,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,74,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,75,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,76,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,77,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,78,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,79,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,80,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
55,81,[],[],[],TRAIN,https://legal.mytherapyapp.com/mytherapy_privacy_policy.html,False
