policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
66,1,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,2,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,3,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,4,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,5,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,6,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,7,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,8,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,9,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,10,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,11,['First Party'],"['Information Type', 'Collection Process', 'Legal Basis for Collection']","['Information Type_Contact information', 'Information Type_Unspecified', 'Collection Process_Directly received from third party', 'Collection Process_Unspecified', 'Legal Basis for Collection_Consent']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,12,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,13,['First Party'],['Purpose'],['Purpose_Analytics or research'],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,14,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Collection Process_Tracked user on third-party website/app']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,15,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Location', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,16,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party', 'Collection Mode (opt)_Explicit', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Computer information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Other', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,18,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,19,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Financial', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,20,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Optional service or feature']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,21,['First Party'],['Collection Process'],['Collection Process_Collected on first-party website/app'],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,22,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Choice Type (opt)']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_Generic personal information', 'Purpose_Optional service or feature', 'Choice Type (opt)_Third-party privacy controls']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,23,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,24,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,25,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,26,['First Party'],['Purpose'],"['Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Personalization or customization']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,27,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Analytics or research', 'Purpose_Personalization or customization']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,28,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Does/Does Not (opt)_Does Not']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,29,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Purpose_Service operation and security', 'Does/Does Not (opt)_Does Not']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,30,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Service operation and security', 'Purpose_Legal requirement']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,31,['First Party'],"['Information Type', 'Purpose']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Legal requirement']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,32,['First Party'],['Information Type'],"['Information Type_Generic personal information', 'Purpose_Unspecified']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,33,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Other', 'Purpose_Unspecified', 'Third-Party Entity_Other part of company/affiliate', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,34,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Service operation and security', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Other part of company/affiliate']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,35,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Service operation and security', 'Purpose_Merger or acquisition', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,36,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,37,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,38,['Third Party'],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,39,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,40,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out via contacting company'],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,41,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out via contacting company'],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,42,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,43,['First Party'],"['Information Type', 'Legal Basis for Collection', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Legal Basis for Collection_Consent', 'Choice Type (opt)_Opt-out via contacting company']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,44,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,45,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,46,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,47,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,48,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,49,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,50,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Legal requirement', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,51,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,52,['First Party'],"['Information Type', 'Legal Basis for Collection']",['Legal Basis for Collection_Consent'],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,53,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Legal Basis for Collection_Consent']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,54,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Legal Basis for Collection_Compliance with a legal obligation']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,55,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Legal requirement', 'Legal Basis for Collection_Compliance with a legal obligation', 'Legal Basis for Collection_Legitimate interests of first or third party']",TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,56,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,57,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,58,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,59,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,60,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,61,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,62,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,63,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,64,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,65,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
66,66,[],[],[],TRAIN,https://www.netgear.de/about/privacy-policy/,False
