policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
79,1,[],[],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,2,['First Party'],['Information Type'],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,3,['First Party'],"['Purpose', 'Legal Basis for Collection']","['Purpose_Other', 'Purpose_Unspecified', 'Legal Basis for Collection_Contractual necessity']",TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,4,['First Party'],"['Information Type', 'Does/Does Not (opt)']","['Information Type_Generic personal information', 'Does/Does Not (opt)_Does Not']",TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,5,[],[],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,6,['First Party'],"['Information Type', 'Does/Does Not (opt)']",['Information Type_Generic personal information'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,7,['First Party'],['Information Type'],['Information Type_Generic personal information'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,8,['First Party'],"['Information Type', 'Does/Does Not (opt)']",['Information Type_Generic personal information'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,9,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,10,[],[],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,11,['First Party'],['Information Type'],['Information Type_Generic personal information'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,12,[],[],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,13,[],[],[],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,14,['First Party'],"['Information Type', 'Does/Does Not (opt)']",['Information Type_Generic personal information'],TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
79,15,['First Party'],"['Information Type', 'User Type (opt)']","['Information Type_Generic personal information', 'User Type (opt)_Other']",TRAIN,https://www8.hp.com/de/de/privacy/privacy.html,False
