policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
83,1,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,2,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,3,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,4,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,5,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,6,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,7,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,8,['First Party'],"['Information Type', 'Collection Process']",['Collection Process_Unspecified'],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,9,['First Party'],"['Information Type', 'Collection Process']",['Information Type_Other'],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,10,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Social media data', 'Information Type_Other']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,11,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Purpose_Essential service or feature']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,12,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Health, genetic, or biometric data', 'Information Type_Unspecified', 'Purpose_Service operation and security', 'Legal Basis for Collection_Consent']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,13,[],[],['Information Type_Unspecified'],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,14,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Unspecified', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,15,['First Party'],"['Information Type', 'Collection Process']","['Information Type_User online activities', 'Collection Process_Collected on first-party website/app']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,16,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Information Type_Unspecified', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,18,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Contact information', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Collection Process_Directly received from third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,19,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Service operation and security', 'Collection Process_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,20,['First Party'],['Purpose'],"['Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Service operation and security']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,21,['First Party'],"['Information Type', 'Purpose', 'Legal Basis for Collection']","['Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Legal Basis for Collection_Consent']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,22,[],"['Information Type', 'Purpose']","['Information Type_User online activities', 'Purpose_Advertising or marketing']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,23,['First Party'],['Information Type'],"['Information Type_Generic personal information', 'Purpose_Unspecified']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,24,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Third-Party Entity_Other users', 'Third-Party Collection Process_Shared by first party with a third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,25,['Third Party'],"['Purpose', 'Third-Party Entity']","['Purpose_Essential service or feature', 'Purpose_Unspecified', 'Third-Party Entity_Other part of company/affiliate']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,26,['Third Party'],"['Purpose', 'Third-Party Entity']","['Purpose_Analytics or research', 'Third-Party Entity_Unnamed third party', 'Third-Party Entity_Named third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,27,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Third-Party Collection Process_Shared by first party with a third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,28,['Third Party'],"['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Purpose_Merger or acquisition', 'Third-Party Entity_Unnamed third party', 'Third-Party Collection Process_Shared by first party with a third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,29,['Third Party'],"['Third-Party Entity', 'Anonymization (opt)', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Third-Party Entity_Unnamed third party', 'Anonymization (opt)_Aggregated or anonymized', 'Third-Party Collection Process_Shared by first party with a third party']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,30,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Third-Party Collection Process_Other']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,31,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,32,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,33,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,34,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,35,['Third Party'],['Information Type'],['Information Type_Cookies and tracking elements'],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,36,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,37,"['First Party', 'Third Party']","['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Service operation and security']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,38,[],[],[],TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,39,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
83,40,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature']",TEST,https://rule.alibaba.com/rule/detail/4660.htm,False
