policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
88,1,[],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,2,[],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,3,[],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,4,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://www.joom.com/de/privacy,True
88,5,[],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,6,"['First Party', 'Third Party']",['Information Type'],['Information Type_Generic personal information'],TRAIN,https://www.joom.com/de/privacy,True
88,7,['Third Party'],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,8,['First Party'],['Collection Process'],['Collection Process_Collected on first-party website/app'],TRAIN,https://www.joom.com/de/privacy,True
88,9,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_Social media data', 'Information Type_Unspecified', 'Collection Process_Collected on first-party website/app', 'Collection Process_Entered by user on third-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.joom.com/de/privacy,True
88,10,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Demographic data', 'Information Type_User online activities', 'Information Type_Social media data', 'Collection Process_Collected on first-party website/app', 'Collection Process_Entered by user on third-party website/app', 'Collection Mode (opt)_Explicit']",TRAIN,https://www.joom.com/de/privacy,True
88,11,['First Party'],"['Information Type', 'Purpose']","['Information Type_Contact information', 'Information Type_Personal identifier', 'Purpose_Essential service or feature']",TRAIN,https://www.joom.com/de/privacy,True
88,12,[],[],[],TRAIN,https://www.joom.com/de/privacy,True
88,13,['First Party'],"['Information Type', 'Purpose']","['Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Information Type_Other', 'Purpose_Analytics or research']",TRAIN,https://www.joom.com/de/privacy,True
