policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
96,1,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,2,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,3,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,4,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,5,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,6,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,7,[],"['Collection Mode (opt)', 'Choice Type (opt)']","['Collection Mode (opt)_Explicit', ""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,8,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,9,['First Party'],['Collection Process'],"['Information Type_Unspecified', 'Collection Process_Unspecified']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,10,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,11,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Analytics or research', 'Purpose_Service operation and security']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,12,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Advertising or marketing', 'Purpose_Personalization or customization']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,13,['First Party'],"['Information Type', 'Purpose']","['Information Type_Other', 'Purpose_Essential service or feature', 'Purpose_Analytics or research']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,14,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Information Type_Generic personal information', 'Purpose_Legal requirement', 'Purpose_Unspecified']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,15,['First Party'],"['Information Type', 'Purpose']","['Information Type_Generic personal information', 'Purpose_Essential service or feature']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,16,['First Party'],"['Information Type', 'Purpose', 'Does/Does Not (opt)']","['Information Type_User online activities', 'Purpose_Advertising or marketing']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Generic personal information', 'Purpose_Service operation and security']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,18,['First Party'],"['Information Type', 'Legal Basis for Collection', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Purpose_Unspecified', 'Choice Type (opt)_Unspecified']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,19,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Cookies and tracking elements', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,20,['Third Party'],"['Third-Party Entity', 'Third-Party Collection Process']","['Third-Party Entity_Other part of company/affiliate', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,21,['Third Party'],"['Purpose', 'Third-Party Collection Process']","['Purpose_Essential service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Service operation and security', 'Purpose_Other']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,22,['Third Party'],"['Purpose', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Merger or acquisition', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,23,['Third Party'],"['Information Type', 'Purpose', 'Third-Party Collection Process']","['Purpose_Service operation and security', 'Purpose_Legal requirement', 'Third-Party Collection Process_Shared by first party with a third party']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,24,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,25,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,26,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,27,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,28,['First Party'],['Purpose'],['Purpose_Service operation and security'],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,29,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,30,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,31,['Third Party'],"['Choice Type (opt)', 'Third-Party Collection Process']",[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,32,[],['User Type (opt)'],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,33,['First Party'],"['Information Type', 'Choice Type (opt)']","['Information Type_Generic personal information', 'Choice Type (opt)_Opt-out via contacting company', 'Choice Type (opt)_First-party privacy controls']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,34,[],['Choice Type (opt)'],"[""Choice Type (opt)_Don't use service/feature""]",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,35,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,36,[],['Choice Type (opt)'],"['Choice Type (opt)_First-party privacy controls', 'Choice Type (opt)_Browser/device privacy controls']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,37,[],['Choice Type (opt)'],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,38,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,39,[],['Choice Type (opt)'],['Choice Type (opt)_Opt-out via contacting company'],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,40,[],['Does/Does Not (opt)'],['Does/Does Not (opt)_Does Not'],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,41,['First Party'],"['Information Type', 'Purpose']","['Purpose_Analytics or research', 'Purpose_Other']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,42,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,43,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,44,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Location', 'Information Type_Demographic data', 'Information Type_Computer information', 'Information Type_Other', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,45,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Location', 'Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,46,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_User online activities', 'Purpose_Service operation and security', 'Collection Process_Collected on first-party website/app']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,47,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Information Type_User online activities', 'Information Type_Computer information', 'Purpose_Service operation and security']",TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,48,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,49,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,50,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,51,['Third Party'],['Third-Party Collection Process'],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,52,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,53,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
96,54,[],[],[],TRAIN,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=201909010,True
