policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
98,1,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,2,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,3,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,4,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,5,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,6,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,7,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,8,[],[],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,9,[],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,10,['Third Party'],"['Information Type', 'Third-Party Entity']","['Information Type_Generic personal information', 'Third-Party Entity_Other part of company/affiliate']",TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,11,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,12,['First Party'],['Information Type'],['Information Type_Generic personal information'],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,13,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Collection Process_Directly received from third party']",TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,14,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Contact information', 'Information Type_Personal identifier', 'Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Explicit']",TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,15,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Personal identifier', 'Information Type_Other', 'Information Type_Unspecified']",TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,16,['First Party'],['Information Type'],[],TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
98,17,['First Party'],"['Information Type', 'Purpose', 'Collection Process']","['Information Type_Financial', 'Information Type_Demographic data', 'Information Type_Personal identifier', 'Information Type_Generic personal information', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Legal requirement', 'Collection Process_Collected on first-party website/app']",TEST,https://www.ebay.de/help/policies/member-behavior-policies/datenschutzerklrung?id=4260,False
