policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
99,1,[],[],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,2,[],[],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,3,[],[],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,4,[],['Choice Type (opt)'],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,5,[],[],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,6,[],[],[],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,7,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Financial', 'Information Type_Contact information', 'Collection Process_Collected on first-party website/app']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,8,['First Party'],"['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Financial', 'Information Type_Contact information', 'Information Type_Personal identifier', 'Information Type_Generic personal information', 'Information Type_Unspecified', 'Purpose_Advertising or marketing', 'Collection Process_Collected on first-party website/app']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,9,['First Party'],"['Information Type', 'Purpose']","['Information Type_Health, genetic, or biometric data', 'Information Type_Demographic data', 'Purpose_Personalization or customization']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,10,['First Party'],['Information Type'],['Information Type_Other'],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,11,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)']","['Information Type_Generic personal information', 'Collection Process_Collected on first-party website/app']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,12,['First Party'],"['Information Type', 'Collection Process']","['Information Type_Contact information', 'Information Type_Demographic data', 'Collection Process_Collected on first-party website/app']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,13,"['First Party', 'Third Party']","['Purpose', 'Third-Party Entity', 'Third-Party Collection Process']","['Information Type_Unspecified', 'Purpose_Optional service or feature', 'Third-Party Collection Process_Shared by first party with a third party']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,14,['First Party'],"['Information Type', 'Collection Process', 'Collection Mode (opt)', 'Choice Type (opt)']","['Information Type_Location', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Collection Process_Collected on first-party website/app', 'Choice Type (opt)_Browser/device privacy controls']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,15,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Cookies and tracking elements', 'Information Type_Computer information', 'Purpose_Analytics or research', 'Collection Process_Collected on first-party website/app']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,16,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,17,['First Party'],['Purpose'],['Purpose_Essential service or feature'],TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,18,['First Party'],"['Information Type', 'Purpose']","['Information Type_Cookies and tracking elements', 'Purpose_Personalization or customization', 'Choice Type (opt)_Unspecified']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
99,19,['First Party'],"['Information Type', 'Purpose', 'Collection Mode (opt)']","['Information Type_User online activities', 'Information Type_Cookies and tracking elements', 'Purpose_Analytics or research', 'Choice Type (opt)_Unspecified']",TEST,https://de.shein.com/Privacy-Security-Policy-a-282.html,False
